Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-29 23:48:25.985,114238.0,0.013,BTCUSDT
2025-09-29 23:48:26.973,114238.0,0.013,BTCUSDT
2025-09-29 23:48:27.283,114238.0,0.04,BTCUSDT
2025-09-29 23:48:27.875,114237.9,0.001,BTCUSDT
2025-09-29 23:48:27.895,114238.0,0.023,BTCUSDT
2025-09-29 23:48:27.906,114238.0,0.013,BTCUSDT
2025-09-29 23:48:28.663,114238.0,0.001,BTCUSDT
2025-09-29 23:48:28.663,114238.0,0.033,BTCUSDT
2025-09-29 23:48:28.909,114238.0,0.013,BTCUSDT
2025-09-29 23:48:29.330,114237.9,0.001,BTCUSDT
2025-09-29 23:48:29.907,114238.0,0.043,BTCUSDT
2025-09-29 23:48:29.989,114238.0,0.013,BTCUSDT
2025-09-29 23:48:30.135,114237.9,0.001,BTCUSDT
2025-09-29 23:48:31.027,114238.0,0.013,BTCUSDT
2025-09-29 23:48:31.241,114237.9,0.02,BTCUSDT
2025-09-29 23:48:31.329,114237.9,0.015,BTCUSDT
2025-09-29 23:48:31.490,114238.0,0.003,BTCUSDT
2025-09-29 23:48:31.982,114238.0,0.013,BTCUSDT
2025-09-29 23:48:32.104,114238.0,0.593,BTCUSDT
2025-09-29 23:48:32.168,114237.9,0.002,BTCUSDT
2025-09-29 23:48:32.918,114238.0,0.013,BTCUSDT
2025-09-29 23:48:33.071,114237.9,0.001,BTCUSDT
2025-09-29 23:48:34.002,114238.0,0.013,BTCUSDT
2025-09-29 23:48:34.080,114237.9,0.001,BTCUSDT
2025-09-29 23:48:34.584,114238.0,0.001,BTCUSDT
2025-09-29 23:48:34.999,114238.0,0.013,BTCUSDT
2025-09-29 23:48:35.171,114238.0,0.003,BTCUSDT
2025-09-29 23:48:35.966,114238.0,0.013,BTCUSDT
2025-09-29 23:48:36.511,114238.0,0.001,BTCUSDT
2025-09-29 23:48:36.977,114238.0,0.013,BTCUSDT
2025-09-29 23:48:37.267,114238.0,0.002,BTCUSDT
2025-09-29 23:48:37.868,114237.9,0.001,BTCUSDT
2025-09-29 23:48:37.994,114238.0,0.013,BTCUSDT
2025-09-29 23:48:39.036,114238.0,0.013,BTCUSDT
